iter	Passed	Remaining
151	6807	37979
152	6846	37903
153	7040	38676
154	7093	38668
155	7272	39343
156	7319	39299
157	7422	39554
158	7436	39331
159	7443	39080
160	7447	38812
161	7454	38561
162	7527	38653
163	7534	38407
164	7635	38642
165	7644	38407
166	7652	38171
167	7660	37937
168	7679	37761
169	7689	37543
170	7698	37320
171	7974	38386
172	7981	38154
173	7988	37923
174	7995	37694
175	8117	38004
176	8206	38156
177	8394	38765
178	8417	38606
179	8480	38631
180	8505	38484
181	8512	38257
182	8554	38190
183	8577	38037
184	8596	37870
185	8647	37842
186	8654	37624
187	8662	37415
188	8673	37218
189	8736	37245
190	8758	37099
191	8818	37113
192	8909	37255
193	8919	37058
194	8928	36859
195	8938	36665
196	8945	36462
197	8953	36268
198	9046	36411
199	9055	36222
200	9064	36033
201	9073	35846
202	9162	35971
203	9171	35785
204	9183	35613
205	9300	35847
206	9308	35660
207	9319	35485
208	9330	35311
209	9342	35147
210	9351	34968
211	9359	34787
212	9533	35225
213	9541	35044
214	9549	34865
215	9557	34689
216	9566	34518
217	9656	34640
218	9670	34487
219	9683	34332
220	9694	34170
221	9843	34497
222	9898	34490
223	9919	34363
224	9937	34229
225	9972	34152
226	9984	34001
227	9991	33829
228	10008	33695
229	10019	33543
230	10034	33404
231	10042	33245
232	10099	33246
233	10106	33083
234	10177	33130
235	10193	32998
236	10200	32838
237	10207	32679
238	10254	32652
239	10271	32527
240	10310	32471
241	10330	32357
242	10345	32227
243	10353	32078
244	10359	31925
245	10373	31795
246	10395	31692
247	10420	31598
248	10426	31446
249	10435	31305
250	10442	31160
251	10464	31062
252	10478	30939
253	10551	30990
254	10559	30851
255	10567	30710
256	10575	30573
257	10671	30692
258	10708	30637
259	10778	30677
260	10791	30555
261	10860	30591
262	10875	30475
263	10882	30338
264	10962	30405
265	10989	30325
266	11012	30232
267	11114	30358
268	11147	30292
269	11167	30194
270	11247	30254
271	11254	30122
272	11272	30018
273	11287	29908
274	11307	29811
275	11390	29878
276	11398	29750
277	11444	29722
278	11520	29772
279	11606	29844
280	11641	29787
281	11665	29702
282	11703	29652
283	11727	29565
284	11766	29520
285	11859	29607
286	11892	29545
287	11944	29529
288	12002	29529
289	12024	29440
290	12059	29383
291	12070	29266
292	12088	29168
293	12098	29053
294	12105	28929
295	12126	28841
296	12149	28756
297	12173	28676
298	12194	28589
299	12216	28504
300	12226	28393
301	12234	28277
302	12293	28279
303	12301	28162
304	12308	28048
305	12316	27933
306	12372	27929
307	12394	27847
308	12417	27767
309	12512	27850
310	12530	27761
311	12545	27664
312	12672	27815
313	12682	27706
314	12694	27606
315	12737	27570
316	12766	27507
317	12793	27437
318	12819	27367
319	12842	27289
320	12850	27181
321	12859	27075
322	12892	27023
323	12921	26960
324	12931	26857
325	13018	26914
326	13032	26823
327	13096	26830
328	13217	26956
329	13377	27160
330	13385	27053
331	13391	26945
332	13533	27108
333	13624	27167
334	13635	27067
335	13654	26983
336	13673	26900
337	13699	26832
338	13741	26793
339	13789	26768
340	13825	26718
341	13831	26612
342	13839	26508
343	13860	26431
344	13874	26340
345	13890	26255
346	13922	26200
347	13948	26132
348	13979	26075
349	13997	25994
350	14039	25958
351	14050	25865
352	14087	25820
353	14099	25729
354	14113	25642
355	14132	25565
356	14163	25510
357	14182	25432
358	14207	25368
359	14218	25277
360	14232	25193
361	14241	25099
362	14254	25014
363	14266	24927
364	14278	24840
365	14286	24747
366	14297	24659
367	14308	24573
368	14318	24484
369	14336	24410
370	14353	24335
371	14375	24268
372	14391	24191
373	14404	24110
374	14417	24029
375	14457	23992
376	14478	23926
377	14514	23883
378	14526	23801
379	14537	23718
380	14610	23737
381	14672	23737
382	14726	23724
383	14762	23681
384	14775	23601
385	14906	23711
386	14987	23739
387	15076	23780
388	15086	23695
389	15097	23614
390	15181	23646
391	15239	23636
392	15271	23586
393	15293	23523
394	15310	23449
395	15327	23378
396	15355	23322
397	15379	23263
398	15387	23178
